CustomerId,Balance,NumOfProducts,HasCrCard,Tenure,IsActiveMember,Exited
15587562,"€ 130,114.39",1,No,4,No,0
15613172,"€ 95,826.49",2,No,5,No,0
15651022,"€ 129,608.57",1,No,10,No,1
15586310,"€ 169,462.09",1,No,4,No,0
15625524,€ 0.00,2,Yes,5,Yes,0
15755209,"€ 133,868.21",1,Yes,7,Yes,0
15645248,€ 0.00,2,Yes,0,Yes,0
15790355,"€ 190,479.48",2,No,5,No,0
15762615,"€ 101,993.12",1,Yes,8,Yes,0
15625426,"€ 161,608.81",1,No,3,No,1
15716334,"€ 122,311.21",1,Yes,2,Yes,0
15789669,€ 0.00,2,Yes,2,Yes,0
15621075,"€ 162,150.42",2,No,1,No,0
15810845,€ 0.00,2,Yes,2,Yes,0
15719377,€ 0.00,1,Yes,4,Yes,1
15654506,€ 0.00,2,No,8,No,0
15771977,"€ 99,010.67",1,No,1,No,0
15708710,€ 0.00,1,Yes,0,Yes,0
15726676,€ 0.00,2,Yes,5,Yes,0
15587421,"€ 111,388.18",2,No,7,No,0
15726931,"€ 56,214.85",2,No,8,No,1
15771086,"€ 84,327.77",2,No,3,No,0
15756850,€ 0.00,2,No,1,No,0
15702741,"€ 93,012.89",1,No,8,No,0
15679200,"€ 61,710.44",2,No,9,No,0
15594815,"€ 174,790.15",1,Yes,3,Yes,0
15635905,€ 0.00,2,Yes,6,Yes,0
15777892,"€ 107,720.64",1,Yes,3,Yes,0
15656176,€ 0.00,2,Yes,10,Yes,0
15811127,"€ 96,423.84",1,No,6,No,0
15604482,"€ 141,040.01",1,Yes,2,Yes,0
15622911,"€ 105,420.18",1,Yes,4,Yes,0
15600974,€ 0.00,1,Yes,5,Yes,1
15727868,"€ 129,022.06",2,Yes,2,Yes,1
15627801,"€ 176,666.62",1,No,3,No,0
15773039,€ 0.00,1,Yes,3,Yes,0
15755262,"€ 89,763.84",1,No,3,No,1
15679531,"€ 134,954.53",1,Yes,5,Yes,0
15684181,€ 0.00,1,No,5,No,1
15612087,"€ 106,376.85",1,Yes,2,Yes,0
15752047,"€ 161,814.64",2,No,2,No,0
15624592,€ 0.00,2,Yes,8,Yes,0
15573152,€ 0.00,2,No,9,No,0
15594917,"€ 63,095.01",1,Yes,1,Yes,0
15785542,"€ 118,287.01",2,No,4,No,0
15723488,"€ 106,854.21",1,Yes,7,Yes,1
15680920,"€ 49,512.55",1,No,7,No,0
15786308,€ 0.00,2,No,9,No,0
15659366,"€ 105,799.32",2,No,1,No,1
15774854,€ 0.00,1,Yes,8,Yes,1
15725311,"€ 114,722.05",2,Yes,9,Yes,0
15787155,€ 0.00,1,Yes,7,Yes,0
15727829,€ 0.00,2,Yes,2,Yes,0
15733247,€ 0.00,1,No,10,No,1
15568748,"€ 99,564.22",1,Yes,6,Yes,1
15699029,"€ 170,557.91",2,No,4,No,0
15774393,€ 0.00,2,Yes,9,Yes,0
15676895,"€ 74,596.15",3,Yes,6,Yes,1
15637753,"€ 96,888.39",1,No,2,No,1
15605461,"€ 130,830.22",1,No,3,No,0
15808473,€ 0.00,2,Yes,1,Yes,0
15627000,€ 0.00,2,No,0,No,0
15787174,€ 0.00,2,Yes,1,Yes,0
15723886,"€ 119,714.25",2,Yes,3,Yes,0
15704769,"€ 113,978.97",2,Yes,5,Yes,0
15772896,"€ 100,160.75",1,No,6,No,1
15711540,€ 0.00,1,Yes,2,Yes,0
15764866,"€ 116,220.50",3,No,3,No,1
15794056,€ 0.00,3,No,2,No,1
15795149,"€ 81,173.83",2,Yes,2,Yes,0
15812009,€ 0.00,2,No,4,No,0
15651001,"€ 116,803.80",1,No,5,No,0
15813844,"€ 105,961.68",2,Yes,8,Yes,0
15596175,"€ 117,411.60",1,Yes,6,Yes,1
15576269,€ 0.00,2,No,7,No,0
15797219,"€ 123,497.58",1,No,10,No,1
15685500,"€ 152,400.51",2,No,7,No,0
15599792,€ 0.00,2,Yes,1,Yes,0
15657566,"€ 103,097.85",1,Yes,8,Yes,0
15772423,"€ 126,418.14",1,No,8,No,1
15628112,"€ 77,846.90",1,No,5,No,0
15753754,€ 0.00,2,Yes,1,Yes,0
15793726,€ 0.00,2,Yes,0,Yes,0
15694717,"€ 79,731.91",1,Yes,2,Yes,0
15665834,€ 0.00,1,No,8,No,0
15765297,€ 0.00,2,Yes,0,Yes,0
15636684,€ 0.00,2,Yes,10,Yes,0
15592979,"€ 37,266.67",2,No,6,No,0
15750803,"€ 127,992.25",1,Yes,6,Yes,0
15607178,"€ 54,901.01",1,Yes,3,Yes,0
15713853,"€ 108,748.08",2,Yes,9,Yes,0
15673481,"€ 99,906.19",1,No,6,No,0
15686776,"€ 184,686.41",2,No,6,No,0
15673693,"€ 110,654.02",1,Yes,0,Yes,0
15700696,"€ 79,019.80",1,Yes,9,Yes,0
15813163,"€ 99,240.51",1,No,9,No,0
15653857,€ 0.00,2,Yes,2,Yes,0
15777076,€ 0.00,2,No,7,No,0
15717398,€ 0.00,1,No,7,No,1
15799217,"€ 52,436.20",1,No,7,No,0
15787071,€ 0.00,2,Yes,9,Yes,0
15619955,"€ 100,337.96",3,No,3,No,1
15796505,"€ 149,297.19",2,Yes,1,Yes,0
15725166,€ 0.00,2,No,8,No,0
15800116,"€ 145,605.44",1,Yes,4,Yes,0
15758685,€ 0.00,2,Yes,7,Yes,0
15694456,€ 0.00,1,Yes,3,Yes,1
15767339,€ 0.00,2,No,10,No,0
15683562,"€ 84,026.86",1,Yes,6,Yes,0
15782210,€ 0.00,1,No,1,No,1
15668893,€ 0.00,2,Yes,8,Yes,0
15669169,€ 0.00,2,Yes,10,Yes,0
15643024,"€ 138,718.92",1,Yes,4,Yes,1
15699389,"€ 118,274.71",1,Yes,7,Yes,0
15708608,"€ 174,185.98",2,Yes,8,Yes,0
15626144,"€ 113,208.86",2,No,7,No,0
15573112,"€ 103,907.28",1,No,5,No,0
15790678,"€ 119,023.28",1,No,8,No,0
15727556,"€ 166,297.89",1,Yes,5,Yes,0
15697307,€ 0.00,2,No,10,No,0
15652266,"€ 63,227.00",1,Yes,9,Yes,0
15607098,"€ 94,521.17",2,No,5,No,0
15655774,€ 0.00,2,No,7,No,0
15590241,"€ 112,822.26",1,No,9,No,1
15785819,€ 0.00,2,Yes,3,Yes,0
15723654,"€ 135,903.33",1,No,2,No,0
15774510,"€ 125,169.26",1,Yes,4,Yes,0
15684173,€ 0.00,3,No,7,No,1
15650068,"€ 149,117.31",1,Yes,0,Yes,0
15811490,€ 0.00,2,Yes,5,Yes,0
15803976,€ 0.00,2,No,10,No,0
15682541,"€ 132,311.71",1,No,6,No,0
15695699,€ 0.00,2,No,8,No,0
15624188,€ 0.00,2,Yes,6,Yes,0
15812191,"€ 118,082.89",1,No,4,No,0
15636673,"€ 119,266.69",1,Yes,1,Yes,0
15594898,€ 0.00,1,Yes,2,Yes,1
15660211,"€ 156,847.29",2,No,7,No,0
15773972,"€ 137,104.47",1,No,4,No,1
15746726,"€ 78,398.69",1,No,8,No,0
15712287,€ 0.00,2,Yes,4,Yes,0
15702919,"€ 63,669.42",1,No,6,No,0
15674398,€ 0.00,2,No,3,No,0
15797960,"€ 135,296.33",1,No,0,No,0
15631868,"€ 153,804.44",1,Yes,2,Yes,0
15581539,€ 0.00,2,No,3,No,0
15662736,"€ 147,069.78",1,No,2,No,1
15666252,€ 0.00,2,Yes,9,Yes,0
15677512,€ 0.00,1,No,3,No,0
15626114,"€ 95,741.75",1,No,4,No,0
15810834,"€ 145,965.33",1,Yes,2,Yes,0
15678910,"€ 141,441.75",1,Yes,8,Yes,0
15694408,"€ 139,290.41",1,No,1,No,1
15585215,€ 0.00,2,No,4,No,0
15682757,€ 0.00,2,No,3,No,0
15736601,"€ 144,428.87",1,No,4,No,0
15601848,€ 0.00,2,No,2,No,0
15736008,"€ 95,441.27",1,No,9,No,1
15669064,"€ 144,848.74",1,Yes,1,Yes,0
15624528,"€ 116,244.14",2,Yes,7,Yes,0
15598493,€ 0.00,2,Yes,7,Yes,0
15601274,"€ 146,502.07",1,No,1,No,0
15702669,"€ 117,028.60",2,Yes,2,Yes,0
15728669,"€ 112,013.81",1,No,8,No,1
15742668,"€ 108,269.37",1,No,6,No,0
15697441,"€ 182,123.79",1,No,7,No,1
15740476,"€ 150,923.74",2,Yes,3,Yes,0
15648064,€ 0.00,2,No,2,No,0
15636624,"€ 165,272.13",1,No,5,No,1
15807923,"€ 115,301.31",1,No,10,No,1
15745844,"€ 129,502.49",2,Yes,6,Yes,1
15786170,"€ 118,342.26",1,No,4,No,0
15681081,€ 0.00,2,Yes,5,Yes,0
15684484,€ 0.00,2,No,8,No,0
15785869,€ 0.00,2,No,7,No,0
15763859,€ 0.00,2,No,7,No,0
15658935,"€ 106,937.05",2,No,9,No,0
15747358,"€ 170,331.37",1,Yes,3,Yes,0
15735203,"€ 114,510.85",1,Yes,1,Yes,0
15576256,€ 0.00,2,Yes,5,Yes,0
15659420,"€ 107,594.11",2,Yes,3,Yes,0
15593365,"€ 81,273.13",1,Yes,2,Yes,0
15777352,"€ 169,399.60",1,No,7,No,0
15812007,€ 0.00,2,Yes,6,Yes,0
15625461,"€ 187,841.99",2,Yes,1,Yes,0
15739438,€ 0.00,2,No,0,No,0
15611759,"€ 126,776.30",2,Yes,8,Yes,0
15661629,"€ 126,436.29",1,No,9,No,1
15633950,"€ 101,960.74",1,Yes,1,Yes,0
15592386,€ 0.00,2,Yes,3,Yes,0
15803716,€ 0.00,2,Yes,3,Yes,0
15696674,"€ 150,842.93",1,Yes,2,Yes,1
15706365,"€ 102,535.57",1,Yes,9,Yes,0
15745088,"€ 99,027.61",2,No,9,No,0
15676715,€ 0.00,2,Yes,9,Yes,0
15613085,€ 0.00,1,Yes,3,Yes,0
15633537,"€ 87,271.41",2,No,9,No,0
15594720,"€ 102,742.91",2,Yes,8,Yes,0
15684042,"€ 40,105.51",2,Yes,2,Yes,0
15583303,"€ 152,265.43",1,No,2,No,0
15611579,"€ 141,947.67",1,Yes,4,Yes,0
15774696,"€ 106,307.91",2,Yes,1,Yes,0
15694506,"€ 107,884.81",2,Yes,0,Yes,0
15688074,"€ 125,013.72",1,Yes,1,Yes,0
15759537,"€ 58,469.37",2,Yes,7,Yes,0
15758449,€ 0.00,1,Yes,8,Yes,0
15583456,"€ 117,231.63",3,Yes,10,Yes,1
15667871,"€ 152,390.26",1,No,4,No,0
15677371,"€ 34,013.63",1,No,2,No,0
15629677,€ 0.00,3,No,2,No,1
15713578,€ 0.00,2,Yes,9,Yes,0
15591509,"€ 101,583.11",2,No,7,No,0
15568240,"€ 77,168.87",2,Yes,10,Yes,0
15622993,"€ 124,695.72",2,No,8,No,0
15689294,"€ 105,934.96",1,No,3,No,0
15720910,€ 0.00,1,Yes,9,Yes,0
15721181,€ 0.00,2,No,6,No,0
15776433,€ 0.00,2,Yes,2,Yes,0
15748936,€ 0.00,2,Yes,2,Yes,0
15717225,"€ 161,525.96",2,No,10,No,0
15685226,"€ 147,199.07",1,Yes,7,Yes,0
15785611,"€ 183,102.29",1,Yes,3,Yes,0
15573456,"€ 127,209.00",2,No,9,No,1
15684548,€ 0.00,2,No,8,No,1
15620505,"€ 97,378.54",1,Yes,0,Yes,0
15807432,"€ 136,925.09",2,Yes,2,Yes,0
15584766,"€ 54,503.55",1,Yes,3,Yes,0
15612187,"€ 155,726.85",1,No,8,No,0
15762218,€ 0.00,2,Yes,9,Yes,0
15646372,"€ 135,842.41",1,No,1,No,1
15690452,"€ 63,349.75",1,No,1,No,0
15747795,"€ 129,499.42",1,Yes,4,Yes,0
15781589,€ 0.00,2,Yes,8,Yes,0
15732674,"€ 70,438.01",2,Yes,6,Yes,0
15642291,€ 0.00,2,Yes,8,Yes,0
15692761,€ 0.00,1,No,9,No,0
15578045,"€ 141,434.04",1,No,9,No,1
15745354,€ 0.00,2,No,4,No,0
15701376,"€ 152,958.29",2,Yes,10,Yes,0
15691625,"€ 138,306.34",1,No,3,No,0
15566594,€ 0.00,2,No,10,No,0
15760431,€ 0.00,2,Yes,1,Yes,0
15686302,"€ 124,328.84",1,Yes,3,Yes,0
15801559,"€ 181,461.48",3,Yes,9,Yes,1
15810432,€ 0.00,2,No,8,No,0
15809616,€ 0.00,2,No,8,No,0
15720559,"€ 110,368.03",1,No,5,No,1
15695632,"€ 89,588.35",1,Yes,9,Yes,0
15659843,€ 0.00,2,No,6,No,0
15615624,€ 0.00,2,No,6,No,0
15810418,"€ 115,924.89",1,No,3,No,1
15716186,€ 0.00,2,No,2,No,0
15674551,"€ 111,756.50",1,No,7,No,1
15622834,€ 0.00,1,No,4,No,0
15566111,€ 0.00,1,No,9,No,0
15784597,"€ 162,923.85",1,No,9,No,0
15652883,"€ 124,576.65",2,No,10,No,0
15806964,"€ 80,793.58",1,Yes,0,Yes,0
15576313,"€ 71,340.09",1,No,9,No,0
15806467,"€ 99,282.63",1,No,1,No,1
15597602,"€ 137,946.39",1,Yes,3,Yes,1
15743040,"€ 127,892.57",2,Yes,2,Yes,0
15705521,"€ 101,084.36",1,No,0,No,0
15595039,"€ 114,754.08",1,No,8,No,1
15799384,€ 0.00,1,No,8,No,0
15581197,"€ 99,286.98",1,Yes,3,Yes,0
15693737,"€ 79,871.02",2,No,4,No,0
15624623,"€ 104,088.59",2,No,10,No,0
15783501,"€ 168,190.33",2,No,2,No,0
15690134,"€ 85,679.25",1,Yes,3,Yes,0
15782735,€ 0.00,1,No,3,No,0
15611088,€ 0.00,2,No,9,No,0
15672145,"€ 121,551.58",2,Yes,7,Yes,0
15732628,"€ 122,220.19",1,Yes,2,Yes,0
15787470,"€ 116,528.15",1,No,3,No,1
15803406,"€ 77,780.29",1,Yes,1,Yes,0
15730460,€ 0.00,1,No,2,No,0
15644572,"€ 125,832.20",1,Yes,4,Yes,0
15694860,"€ 68,065.80",1,No,6,No,1
15658169,"€ 127,299.34",2,No,6,No,0
15794396,"€ 174,937.64",1,No,7,No,0
15785798,€ 0.00,2,Yes,9,Yes,0
15710825,"€ 110,071.10",1,No,7,No,0
15668444,"€ 139,432.37",1,No,3,No,0
15726631,"€ 127,357.76",1,Yes,6,Yes,0
15733797,€ 0.00,2,No,5,No,0
15747960,€ 0.00,1,Yes,3,Yes,0
15634632,€ 0.00,2,No,3,No,0
15707362,"€ 95,556.31",1,Yes,1,Yes,1
15662976,€ 0.00,1,Yes,8,Yes,0
15732778,"€ 111,681.98",2,Yes,1,Yes,0
15718443,€ 0.00,2,No,3,No,0
15670039,"€ 108,738.71",2,No,3,No,0
15773792,"€ 133,950.37",1,Yes,4,Yes,1
15613786,€ 0.00,2,Yes,4,Yes,0
15726032,"€ 89,968.69",1,No,9,No,0
15663252,€ 0.00,2,Yes,9,Yes,0
15593782,"€ 130,878.75",3,No,5,No,1
15633283,€ 0.00,2,No,8,No,0
15749167,€ 0.00,2,Yes,3,Yes,0
15759298,"€ 134,169.62",1,Yes,10,Yes,0
15683625,"€ 149,762.08",1,No,1,No,1
15635367,"€ 93,844.69",1,No,2,No,0
15681705,€ 0.00,2,No,8,No,0
15603156,€ 0.00,2,No,1,No,0
15591986,"€ 141,078.37",1,No,6,No,1
15798888,"€ 117,992.59",1,Yes,1,Yes,0
15809722,"€ 100,812.33",2,No,8,No,0
15677538,€ 0.00,1,Yes,7,Yes,0
15797736,"€ 80,262.60",1,Yes,4,Yes,0
15695585,"€ 156,478.62",1,Yes,6,Yes,0
15744398,€ 0.00,2,No,5,No,0
15750658,€ 0.00,3,No,8,No,0
15578186,"€ 115,217.99",2,No,9,No,0
15676519,€ 0.00,2,No,9,No,1
15637954,"€ 155,470.55",1,Yes,0,Yes,0
15758639,€ 0.00,2,No,7,No,0
15613772,"€ 135,096.77",1,Yes,3,Yes,1
15731744,€ 0.00,2,Yes,2,Yes,0
15807709,"€ 180,075.22",1,Yes,9,Yes,0
15714689,"€ 97,541.24",1,Yes,1,Yes,0
15699005,"€ 156,067.05",1,Yes,2,Yes,0
15624170,"€ 81,550.94",2,Yes,4,Yes,0
15725679,€ 0.00,1,No,6,No,1
15585865,"€ 170,061.92",2,No,2,No,1
15804256,"€ 92,310.54",2,Yes,8,Yes,0
15662403,"€ 169,089.38",2,No,6,No,0
15733616,"€ 80,613.93",1,Yes,5,Yes,0
15591995,"€ 121,581.56",2,Yes,8,Yes,0
15677020,€ 0.00,1,Yes,8,Yes,1
15727688,€ 0.00,2,Yes,4,Yes,0
15715941,€ 0.00,2,Yes,5,Yes,0
15714485,"€ 85,891.55",1,No,5,No,1
15730059,"€ 77,637.35",2,Yes,9,Yes,0
15715527,€ 0.00,1,No,4,No,0
15576623,€ 0.00,2,No,5,No,0
15805565,"€ 116,927.89",1,No,7,No,0
15677307,"€ 137,326.65",1,No,6,No,0
15773890,€ 0.00,2,Yes,5,Yes,0
15598883,€ 0.00,2,Yes,2,Yes,0
15568506,"€ 67,238.98",2,Yes,10,Yes,0
15761043,"€ 86,569.76",2,No,6,No,0
15782236,€ 0.00,2,No,5,No,0
15593601,"€ 133,598.40",1,Yes,6,Yes,0
15682048,"€ 136,188.78",1,Yes,3,Yes,1
15746902,€ 0.00,2,No,9,No,0
15752081,€ 0.00,3,Yes,10,Yes,1
15781307,"€ 120,092.52",2,No,7,No,0
15775912,"€ 101,238.24",2,Yes,4,Yes,1
15745417,"€ 89,685.92",1,Yes,6,Yes,0
15671256,"€ 211,774.31",1,No,1,No,1
15653547,"€ 131,317.48",1,Yes,7,Yes,0
15595766,"€ 93,722.73",2,Yes,5,Yes,0
15742358,"€ 101,160.99",1,Yes,8,Yes,0
15763274,"€ 120,320.54",1,No,3,No,0
15786063,€ 0.00,2,Yes,2,Yes,0
15600258,€ 0.00,2,Yes,2,Yes,0
15573318,€ 0.00,2,No,8,No,0
15653849,"€ 152,827.99",1,No,3,No,1
15694272,"€ 64,097.75",1,Yes,1,Yes,0
15736112,"€ 119,035.35",2,Yes,2,Yes,0
15749851,"€ 135,219.57",1,Yes,4,Yes,0
15663478,"€ 93,694.42",1,Yes,6,Yes,0
15592300,"€ 59,408.63",1,No,10,No,0
15567832,"€ 114,354.95",1,No,7,No,0
15776780,€ 0.00,1,No,1,No,1
15592846,"€ 128,173.90",2,No,10,No,0
15739803,€ 0.00,2,No,9,No,0
15794142,"€ 114,931.35",3,Yes,5,Yes,1
15762729,"€ 111,071.36",1,No,1,No,1
15667896,"€ 151,226.18",2,Yes,8,Yes,0
15626578,€ 0.00,2,Yes,9,Yes,0
15776223,"€ 64,740.12",1,Yes,4,Yes,0
15705953,"€ 169,312.13",1,No,0,No,1
15802593,€ 0.00,3,Yes,7,Yes,1
15615457,"€ 112,652.08",2,No,2,No,0
15708916,€ 0.00,2,No,0,No,0
15720187,"€ 143,964.36",2,No,7,No,0
15595440,"€ 122,451.46",2,Yes,7,Yes,0
15600651,€ 0.00,3,Yes,1,Yes,0
15750141,"€ 65,253.07",2,No,3,No,0
15657284,"€ 106,901.94",1,Yes,6,Yes,1
15763063,"€ 128,509.63",1,No,10,No,0
15709324,€ 0.00,2,No,7,No,0
15711309,"€ 129,834.67",1,No,3,No,0
15775318,"€ 154,962.99",3,Yes,3,Yes,1
15705515,"€ 138,241.90",2,No,5,No,0
15634844,"€ 91,536.93",1,No,3,No,1
